Band_8;Band_9;Band_3;Band_10;Band_11;Band_4;Band_12;Band_1;Band_13;Band_14;Band_15;Band_2;Band_16;Band_17;Band_18;Band_19;Band_5;Band_6;Band_7
0;0;0;0;0;0;0;0;0;0;0.000268341;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.000804332;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.000804332;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.00195755;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.00195755;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.0056237;0;0;0;0;0;0;0;0
1.75E-05;3.14E-05;0.000385951;0.000708095;0;0;0;0.00186628;0.000448907;0.00012274;0;0.000884103;6.40E-06;4.07E-06;1.67E-06;3.78E-06;2.43E-05;3.25E-05;3.07E-05
0;0;0;0;0;0;0;0;0;0;0.0199953;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.0199953;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.0710626;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.0710626;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.183156;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.361062;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.361062;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.582582;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.582582;0;0;0;0;0;0;0;0
0;0;0;0.000165368;0;0;0;0;0;0;0.797048;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.94981;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.94981;0;0;0;0;0;0;0;0
0;0;0;0.000157495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.981414;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.981414;0;0;0;0;0;0;0;0
0;0;0;0.000211702;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.97637;0;0;0;0;0;0;0;0
0;0;0;0.000230279;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0.000190836;0;0;0;0;0;0;0.994017;0;0;0;0;0;0;0;0
0;0;0;0.000190836;0;0;0;0;0;0;0.994017;0;0;0;0;0;0;0;0
1.92E-05;3.06E-05;0.000381662;0;0;0;0;0.000509453;0.000481344;0.000141267;0;0.00158325;4.38E-06;4.08E-06;2.32E-06;6.85E-06;2.64E-05;2.23E-05;4.15E-05
0;0;0;0.000251823;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;0;0.000359112;0;0;0;0;0;0;0.979251;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0.000404363;0;0;0;0;0;0;0.929473;0;0;0;0;0;0;0;0
